"id2" "x2" "c2" "L2" "N2"
1 0.001835988 0.860051 0.274865182 7
2 0.065429203 0.718180228 0.315389318 8
3 0.065429203 0.852185434 0.279420177 5
4 0.065429203 0.700150535 0.392652457 5
5 0.065429203 0.783522563 0.397515687 5
6 0.10988352 0.431408086 0.250428972 4
7 0.115783738 0.616227733 0.23923559 5
8 0.191048616 0.620929744 0.204529344 6
9 0.200694538 0.16545448 0.08353239 1
10 0.22288165 0.957823582 0.015139941 0
11 0.256289681 0.070414354 0.095418377 0
12 0.263315461 0.820614735 0.308194452 5
13 0.27457072 0.656610398 0.128217148 5
14 0.281619211 0.915509932 0.429248237 9
15 0.285825021 0.451536421 0.274423335 6
16 0.299744324 0.870263424 0.198677269 5
17 0.309291736 0.292691908 0.24075251 5
18 0.318494923 0.751123372 0.394912346 5
19 0.327331433 0.769340406 0.333998384 3
20 0.327331433 0.800922507 0.343844738 2
21 0.327331433 0.753435969 0.407419663 4
22 0.354231457 0.803237129 0.37187247 8
23 0.388410134 0.88500839 0.287758472 9
24 0.388410134 0.837046785 0.384296362 5
25 0.417516687 0.833735886 0.185252873 5
26 0.490363415 0.757490277 0.212887488 4
27 0.508833654 0.259521345 0.054495129 1
28 0.516294633 0.850572111 0.226065171 2
29 0.536601766 0.659245185 0.121688724 2
30 0.553046922 0.861080741 0.167115214 2
31 0.608335629 0.822346323 0.225535211 3
32 0.647023537 0.645602586 0.11846033 1
33 0.654428545 0.787608061 0.029260827 2
34 0.682199773 0.90214063 0.117460165 3
35 0.719243356 0.871291851 0.150998118 2
36 0.746687425 0.861052361 0.154146437 2
37 0.886700338 0.316642587 0.048921404 0
38 0.886700338 0.549246707 0.025572348 0
39 0.895755058 0.823818092 0.038903879 0
40 0.895755058 0.554603548 0.060028651 0
41 0.934185842 0.501721285 0.045159323 0
42 0.963158877 0.521635085 0.024218339 0
43 0.967044552 0.182314325 0.030168354 0
44 0.985248216 0.764604372 0.016523888 0
45 0.992496991 0.234095064 0.017320672 0
46 0.992496991 0.051348455 0.01994393 0
